fold,accuracy,roc_auc,log_loss,precision,recall
0,0.9999385472571592,0.984606072555205,0.00221498136276296,0.969242902208202,0.969242902208202
1,0.9999390168064868,0.9859273092369478,0.00219805708955556,0.96722621902478,0.9718875502008032
2,0.9999281763987646,0.9824162581699348,0.00258878498808591,0.963295269168026,0.9648692810457516
3,0.999940029575288,0.9855467325227965,0.00216155320192007,0.9689158453373768,0.9711246200607904
4,0.9999035185346972,0.9760212927756654,0.00347754449384696,0.9513677811550152,0.9520912547528516
