fold,accuracy,roc_auc,log_loss,precision,recall
0,0.9997740913233872,0.9459503129890452,0.00814257403742981,0.8830364058869093,0.892018779342723
1,0.9997484237939152,0.9373858651502844,0.00906772557306753,0.8734793187347932,0.8748984565393989
2,0.9997758749672992,0.946342649310873,0.00807828499449372,0.8840030326004549,0.892802450229709
3,0.9997512463593868,0.938085794094174,0.0089659900015426,0.8749003984063745,0.8762968874700718
4,0.9997095212479828,0.9276192307692308,0.01046991545461197,0.8540706605222734,0.8553846153846154
